cache-references,cycles,LLC-loads
185695437.0,4764725045.0,6839935.0
181594495.0,4800443297.0,6633826.0
181836615.0,4795490235.0,6571881.0
187451323.0,4800555998.0,6859331.0
185532713.0,4786867604.0,6704068.0
183388115.0,4758643432.0,6726539.0
187639306.0,4823410686.0,6828414.0
182824813.0,4760172071.0,6674520.0
187391585.0,4799628401.0,6753462.0
187196904.0,4806363349.0,6865536.0
189618189.0,4790466180.0,6902943.0
184055066.0,4777903718.0,6736650.0
181403240.0,4763115304.0,6614280.0
185015319.0,4788810741.0,6626758.0
187380884.0,4801228532.0,6777405.0
187713189.0,4793166044.0,6751532.0
185151066.0,4780962294.0,6744885.0
172906446.0,4753220150.0,6223111.0
175589459.0,4751949493.0,6297203.0
183268113.0,4808091126.0,6586859.0
176732518.0,4739563645.0,6225218.0
188353326.0,4790944052.0,6989256.0
173576329.0,4733325565.0,6216367.0
187398189.0,4806911903.0,6813995.0
174440869.0,4750150518.0,6563743.0
188532974.0,4778417076.0,6959673.0
183576704.0,4772055052.0,6610917.0
186550043.0,4784792318.0,6618683.0
186909323.0,4768158947.0,6744522.0
191455942.0,4808290659.0,7002569.0
187610803.0,4786084865.0,6787382.0
174068165.0,4783968373.0,6122541.0
187010635.0,4795086242.0,6724242.0
179230811.0,4760570918.0,6442710.0
186265169.0,4775222693.0,6751954.0
183553252.0,4768717467.0,6711599.0
186127061.0,4757843232.0,6684109.0
183222566.0,4777153116.0,6626663.0
183307202.0,4828179470.0,6757862.0
186969884.0,4789272998.0,6909932.0
182651392.0,4749250635.0,6689794.0
184448847.0,4817394104.0,6702212.0
185625052.0,4814361676.0,6730304.0
184957564.0,4768743265.0,6585121.0
182886517.0,4770062136.0,6561679.0
186260821.0,4787833040.0,6680042.0
177579052.0,4741115871.0,6467478.0
171208765.0,4768544115.0,6209759.0
185502483.0,4785238619.0,6776481.0
182772410.0,4777081302.0,6767222.0
188821218.0,4803484418.0,6992888.0
183226809.0,4771777371.0,6712221.0
187875372.0,4815396394.0,6907466.0
182229334.0,4772273110.0,6744453.0
185015499.0,4766687452.0,6710139.0
185579049.0,4792150895.0,6750186.0
174864944.0,4742388016.0,6358391.0
187275246.0,4784903348.0,6700096.0
183840474.0,4820331943.0,6624229.0
186364428.0,4778747727.0,6623730.0
188693179.0,4756261995.0,6734245.0
182632047.0,4790733379.0,6555870.0
172357964.0,4727899009.0,6094867.0
171472585.0,4745055863.0,6167149.0
183168410.0,4770489655.0,6606797.0
186217904.0,4796404415.0,6829988.0
171751952.0,4756649715.0,6182901.0
178897925.0,4752006852.0,6432179.0
175259684.0,4733293216.0,6347986.0
183326109.0,4800839834.0,6547053.0
182905818.0,4752819694.0,6274884.0
185064444.0,4782139666.0,6778378.0
185662591.0,4765554031.0,6747812.0
186286793.0,4780317832.0,6680191.0
184217095.0,4812421778.0,6736030.0
179743448.0,4756022780.0,6584864.0
187411439.0,4832834503.0,6845177.0
179607659.0,4787217045.0,6433782.0
188333058.0,4802259337.0,6973303.0
181340116.0,4767728634.0,6568433.0
174876130.0,4736213052.0,6277257.0
168308403.0,4996348900.0,6478799.0
185517787.0,4757816244.0,6759252.0
183954428.0,4772737809.0,6842258.0
170837843.0,4730512640.0,6100167.0
185902630.0,4797789073.0,6657427.0
186234635.0,4768014488.0,7108173.0
186205391.0,4778222012.0,6775428.0
184199413.0,4778289426.0,6767952.0
172919209.0,4755374800.0,6236823.0
186627495.0,4775551850.0,6901048.0
171980494.0,4723076896.0,6140231.0
176201189.0,4731750820.0,6351479.0
177020167.0,4740767330.0,6297014.0
188503785.0,4778543184.0,6947669.0
187809723.0,4774948168.0,6793826.0
180624571.0,4755873093.0,6454580.0
185090215.0,4809556106.0,6827143.0
181394225.0,4741891351.0,6527327.0
187927614.0,4810088764.0,6773227.0
175174011.0,4740363695.0,6348584.0
187714732.0,4805332775.0,6849897.0
176549166.0,4778855255.0,6314667.0
186636359.0,4811521158.0,6813892.0
184043067.0,4823413788.0,6698740.0
183304551.0,4774877386.0,6691659.0
188929909.0,4788790313.0,6823857.0
183939041.0,4770052816.0,6650637.0
179499836.0,4761180697.0,6395161.0
186668010.0,4803144318.0,6724781.0
184849356.0,4775986769.0,6640079.0
182207123.0,4724675478.0,6679580.0
183680632.0,4761638528.0,6782688.0
182767083.0,4774748022.0,6671006.0
184914818.0,4771205147.0,6821047.0
182435841.0,4800690171.0,6546984.0
176251926.0,4757571322.0,6251247.0
175944302.0,4769116218.0,6304294.0
187455373.0,4798120000.0,6735119.0
185760640.0,4740395477.0,6743236.0
183675846.0,4753889364.0,6551028.0
182896473.0,4756285829.0,6417224.0
183357886.0,4800374119.0,6534196.0
187970874.0,4778169127.0,6848650.0
187363534.0,4782026888.0,6901865.0
174097400.0,4715971811.0,6294900.0
186570048.0,4767003853.0,6866569.0
183006960.0,4785524911.0,6545761.0
174385616.0,4730619066.0,6204643.0
185423134.0,4800394636.0,6603287.0
186266650.0,4769898619.0,6694894.0
186226364.0,4780746757.0,6778556.0
175804173.0,4737409486.0,6181704.0
177974724.0,4772344959.0,6630184.0
171804728.0,4774880962.0,6234646.0
183988306.0,4756090920.0,6674990.0
184904035.0,4776818460.0,6729144.0
